ID,Symbol,CC-1,CC-2,CC-3,C4-1,C4-2,C4-3,IG-1,IG-2,IG-3,Z1-1,Z1-2,Z1-3,Z2-1,Z2-2,Z2-3
O15392,BIRC5,,11696.50812,6717.904473,,7548.139693,10335.95364,,,,11637.75603,,14851.30078,19181.34766,10696.34511,31444.16297
O15417,TNRC18,4923.681445,23539.91544,7255.438236,5312.304391,8805.049295,18442.12434,1784.303271,557.1973987,1586.060553,29195.30085,14971.94165,19183.47468,20728.84725,18611.89356,27356.94879
O15446,POLR1G,23268.65469,48916.89787,22173.8071,20010.87552,44345.95855,41119.37166,4074.106473,,,44940.99768,56382.05962,67269.71094,42545.13281,42700.95019,55370.59766
O15479,MAGEB2,35285.229,83727.01562,37891.48438,31437.7692,76042.39062,66088.47383,13974.8575,6597.809387,11647.44234,127303.1762,84658.05469,134721.2114,77378.25478,52739.60156,62902.25573
O15482,TEX28,54182.76953,47859.09375,50205.24609,,54153.15625,41172.23828,57382.78125,,55744.91406,63921.38281,,35676.71094,44132.69141,35866.49219,
O15504,NUP42,5018.320067,7782.343821,4920.153942,,9134.740562,7770.857521,,,,13469.80453,17141.74285,15247.11786,12933.41604,12071.13252,18988.82618
O15511,ARPC5,8557.527768,20681.50724,28964.09015,20235.54316,26548.67635,31227.98911,7410.881914,,,17689.69448,18071.31365,19447.68109,9368.574404,14506.29441,19041.19623
O15514,POLR2D,12707.41992,15925.5918,5173.06543,7048.570312,33661.03906,33505.8125,2974.040039,,,61474.82812,60867.58594,54607.74219,43263.10938,40833.92969,69456.61719
O15525,MAFG,,15081.80872,,7746.281475,27559.15596,22806.41199,,25684.38071,,22757.95929,8170.419365,18009.9511,7722.865117,8388.92071,11119.5494
O15527,OGG1,13774.76541,,,16116.74695,45083.025,,,,,15222.92534,15127.49614,19270.63462,,22727.19736,42423.62148
O15550,KDM6A,,7221.368164,3972.900391,4059.078125,4295.884277,7674.865723,,,,5448.518555,4736.519531,8998.839844,3712.778564,5169.15625,8182.449219
O43143,DHX15,17502.66683,57601.96347,22125.52015,19914.48505,50587.25672,50150.335,4516.924028,,2743.489766,85240.52599,101787.0542,100017.8587,64123.44036,64713.47036,93222.91386
O43148,RNMT,7802.54145,12892.58596,13719.32668,16661.57027,27504.45048,26329.18842,,,,33332.95542,42111.5403,32787.40351,15520.98164,12098.97318,29391.27251
O43149,ZZEF1,,,,,83466.39062,83083.42188,,,,,24874.27539,,,,
